To,From
Ascia monuste,Danaus gilippus
Ascia monuste,Euptoieta hegesia
Ascia monuste,Hydroptila icona
Ascia monuste,Hyles lineata
Ascia monuste,Leucotrichia limpia
Ascia monuste,Leucotrichia mutica
Ascia monuste,Leucotrichia sarita
Ascia monuste,Neotrichia sepulga
Ascia monuste,Ochrotrichia lucia
Ascia monuste,Oxyethira arizona
Ascia monuste,Oxyethira parce
Ascia monuste,Pachylia syces
Ascia monuste,Periplaneta americana
Ascia monuste,Philolithus aegrotus
Ascia monuste,Phoebis agarithe
Ascia monuste,Polistes palmarum
Ascia monuste,Pseudoleon superbus
Ascia monuste,Urbanus dorantes
Ascia monuste,Urbanus proteus
Ascia monuste,Vanessa cardui
Battus philenor,Chimarra laguna
Battus philenor,Cycloneda sanguinea
Battus philenor,Danaus gilippus
Battus philenor,Euptoieta hegesia
Battus philenor,Hydroptila icona
Battus philenor,Hyles lineata
Battus philenor,Leucotrichia limpia
Battus philenor,Leucotrichia mutica
Battus philenor,Leucotrichia sarita
Battus philenor,Neotrichia sepulga
Battus philenor,Ochrotrichia lucia
Battus philenor,Oxyethira arizona
Battus philenor,Oxyethira parce
Battus philenor,Pachylia syces
Battus philenor,Periplaneta americana
Battus philenor,Philolithus aegrotus
Battus philenor,Phoebis agarithe
Battus philenor,Polistes palmarum
Battus philenor,Pseudoleon superbus
Battus philenor,Urbanus dorantes
Battus philenor,Urbanus proteus
Battus philenor,Vanessa cardui
Chimarra laguna,Cycloneda sanguinea
Chimarra laguna,Danaus gilippus
Chimarra laguna,Euptoieta hegesia
Chimarra laguna,Hydroptila icona
Chimarra laguna,Hyles lineata
Chimarra laguna,Leucotrichia limpia
Chimarra laguna,Leucotrichia mutica
Chimarra laguna,Leucotrichia sarita
Chimarra laguna,Neotrichia sepulga
Chimarra laguna,Ochrotrichia lucia
Chimarra laguna,Oxyethira arizona
Chimarra laguna,Oxyethira parce
Chimarra laguna,Pachylia syces
Chimarra laguna,Periplaneta americana
Chimarra laguna,Philolithus aegrotus
Chimarra laguna,Phoebis agarithe
Chimarra laguna,Polistes palmarum
Chimarra laguna,Pseudoleon superbus
Chimarra laguna,Urbanus dorantes
Chimarra laguna,Urbanus proteus
Chimarra laguna,Vanessa cardui
Cycloneda sanguinea,Danaus gilippus
Cycloneda sanguinea,Euptoieta hegesia
Cycloneda sanguinea,Hydroptila icona
Cycloneda sanguinea,Hyles lineata
Cycloneda sanguinea,Leucotrichia limpia
Cycloneda sanguinea,Leucotrichia mutica
Cycloneda sanguinea,Leucotrichia sarita
Cycloneda sanguinea,Neotrichia sepulga
Cycloneda sanguinea,Ochrotrichia lucia
Cycloneda sanguinea,Oxyethira arizona
Cycloneda sanguinea,Oxyethira parce
Cycloneda sanguinea,Pachylia syces
Cycloneda sanguinea,Periplaneta americana
Cycloneda sanguinea,Philolithus aegrotus
Cycloneda sanguinea,Phoebis agarithe
Cycloneda sanguinea,Polistes palmarum
Cycloneda sanguinea,Pseudoleon superbus
Cycloneda sanguinea,Urbanus dorantes
Cycloneda sanguinea,Urbanus proteus
Cycloneda sanguinea,Vanessa cardui
Danaus gilippus,Euptoieta hegesia
Danaus gilippus,Hydroptila icona
Danaus gilippus,Hyles lineata
Danaus gilippus,Leucotrichia limpia
Danaus gilippus,Leucotrichia mutica
Danaus gilippus,Leucotrichia sarita
Danaus gilippus,Neotrichia sepulga
Danaus gilippus,Ochrotrichia lucia
Danaus gilippus,Oxyethira arizona
Danaus gilippus,Oxyethira parce
Danaus gilippus,Pachylia syces
Danaus gilippus,Periplaneta americana
Danaus gilippus,Philolithus aegrotus
Danaus gilippus,Phoebis agarithe
Danaus gilippus,Polistes palmarum
Danaus gilippus,Pseudoleon superbus
Danaus gilippus,Urbanus dorantes
Danaus gilippus,Urbanus proteus
Danaus gilippus,Vanessa cardui
Euptoieta hegesia,Hydroptila icona
Euptoieta hegesia,Hyles lineata
Euptoieta hegesia,Leucotrichia limpia
Euptoieta hegesia,Leucotrichia mutica
Euptoieta hegesia,Leucotrichia sarita
Euptoieta hegesia,Neotrichia sepulga
Euptoieta hegesia,Ochrotrichia lucia
Euptoieta hegesia,Oxyethira arizona
Euptoieta hegesia,Oxyethira parce
Euptoieta hegesia,Pachylia syces
Euptoieta hegesia,Periplaneta americana
Euptoieta hegesia,Philolithus aegrotus
Euptoieta hegesia,Phoebis agarithe
Euptoieta hegesia,Polistes palmarum
Euptoieta hegesia,Pseudoleon superbus
Euptoieta hegesia,Urbanus dorantes
Euptoieta hegesia,Urbanus proteus
Euptoieta hegesia,Vanessa cardui
Hydroptila icona,Hyles lineata
Hydroptila icona,Leucotrichia limpia
Hydroptila icona,Leucotrichia mutica
Hydroptila icona,Leucotrichia sarita
Hydroptila icona,Neotrichia sepulga
Hydroptila icona,Ochrotrichia lucia
Hydroptila icona,Oxyethira arizona
Hydroptila icona,Oxyethira parce
Hydroptila icona,Pachylia syces
Hydroptila icona,Periplaneta americana
Hydroptila icona,Philolithus aegrotus
Hydroptila icona,Phoebis agarithe
Hydroptila icona,Polistes palmarum
Hydroptila icona,Pseudoleon superbus
Hydroptila icona,Urbanus dorantes
Hydroptila icona,Urbanus proteus
Hydroptila icona,Vanessa cardui
Hyles lineata,Leucotrichia limpia
Hyles lineata,Leucotrichia mutica
Hyles lineata,Leucotrichia sarita
Hyles lineata,Neotrichia sepulga
Hyles lineata,Ochrotrichia lucia
Hyles lineata,Oxyethira arizona
Hyles lineata,Oxyethira parce
Hyles lineata,Pachylia syces
Hyles lineata,Periplaneta americana
Hyles lineata,Philolithus aegrotus
Hyles lineata,Phoebis agarithe
Hyles lineata,Polistes palmarum
Hyles lineata,Pseudoleon superbus
Hyles lineata,Urbanus dorantes
Hyles lineata,Urbanus proteus
Hyles lineata,Vanessa cardui
Leucotrichia limpia,Leucotrichia mutica
Leucotrichia limpia,Leucotrichia sarita
Leucotrichia limpia,Neotrichia sepulga
Leucotrichia limpia,Ochrotrichia lucia
Leucotrichia limpia,Oxyethira arizona
Leucotrichia limpia,Oxyethira parce
Leucotrichia limpia,Pachylia syces
Leucotrichia limpia,Periplaneta americana
Leucotrichia limpia,Philolithus aegrotus
Leucotrichia limpia,Phoebis agarithe
Leucotrichia limpia,Polistes palmarum
Leucotrichia limpia,Pseudoleon superbus
Leucotrichia limpia,Urbanus dorantes
Leucotrichia limpia,Urbanus proteus
Leucotrichia limpia,Vanessa cardui
Leucotrichia mutica,Leucotrichia sarita
Leucotrichia mutica,Neotrichia sepulga
Leucotrichia mutica,Ochrotrichia lucia
Leucotrichia mutica,Oxyethira arizona
Leucotrichia mutica,Oxyethira parce
Leucotrichia mutica,Pachylia syces
Leucotrichia mutica,Periplaneta americana
Leucotrichia mutica,Philolithus aegrotus
Leucotrichia mutica,Phoebis agarithe
Leucotrichia mutica,Polistes palmarum
Leucotrichia mutica,Pseudoleon superbus
Leucotrichia mutica,Urbanus dorantes
Leucotrichia mutica,Urbanus proteus
Leucotrichia mutica,Vanessa cardui
Leucotrichia sarita,Neotrichia sepulga
Leucotrichia sarita,Ochrotrichia lucia
Leucotrichia sarita,Oxyethira arizona
Leucotrichia sarita,Oxyethira parce
Leucotrichia sarita,Pachylia syces
Leucotrichia sarita,Periplaneta americana
Leucotrichia sarita,Philolithus aegrotus
Leucotrichia sarita,Phoebis agarithe
Leucotrichia sarita,Polistes palmarum
Leucotrichia sarita,Pseudoleon superbus
Leucotrichia sarita,Urbanus dorantes
Leucotrichia sarita,Urbanus proteus
Leucotrichia sarita,Vanessa cardui
Neotrichia sepulga,Ochrotrichia lucia
Neotrichia sepulga,Oxyethira arizona
Neotrichia sepulga,Oxyethira parce
Neotrichia sepulga,Pachylia syces
Neotrichia sepulga,Periplaneta americana
Neotrichia sepulga,Philolithus aegrotus
Neotrichia sepulga,Phoebis agarithe
Neotrichia sepulga,Polistes palmarum
Neotrichia sepulga,Pseudoleon superbus
Neotrichia sepulga,Urbanus dorantes
Neotrichia sepulga,Urbanus proteus
Neotrichia sepulga,Vanessa cardui
Ochrotrichia lucia,Oxyethira arizona
Ochrotrichia lucia,Oxyethira parce
Ochrotrichia lucia,Pachylia syces
Ochrotrichia lucia,Periplaneta americana
Ochrotrichia lucia,Philolithus aegrotus
Ochrotrichia lucia,Phoebis agarithe
Ochrotrichia lucia,Polistes palmarum
Ochrotrichia lucia,Pseudoleon superbus
Ochrotrichia lucia,Urbanus dorantes
Ochrotrichia lucia,Urbanus proteus
Ochrotrichia lucia,Vanessa cardui
Oxyethira arizona,Oxyethira parce
Oxyethira arizona,Pachylia syces
Oxyethira arizona,Periplaneta americana
Oxyethira arizona,Philolithus aegrotus
Oxyethira arizona,Phoebis agarithe
Oxyethira arizona,Polistes palmarum
Oxyethira arizona,Pseudoleon superbus
Oxyethira arizona,Urbanus dorantes
Oxyethira arizona,Urbanus proteus
Oxyethira arizona,Vanessa cardui
Oxyethira parce,Pachylia syces
Oxyethira parce,Periplaneta americana
Oxyethira parce,Philolithus aegrotus
Oxyethira parce,Phoebis agarithe
Oxyethira parce,Polistes palmarum
Oxyethira parce,Pseudoleon superbus
Oxyethira parce,Urbanus dorantes
Oxyethira parce,Urbanus proteus
Oxyethira parce,Vanessa cardui
Pachylia syces,Periplaneta americana
Pachylia syces,Philolithus aegrotus
Pachylia syces,Phoebis agarithe
Pachylia syces,Polistes palmarum
Pachylia syces,Pseudoleon superbus
Pachylia syces,Urbanus dorantes
Pachylia syces,Urbanus proteus
Pachylia syces,Vanessa cardui
Periplaneta americana,Philolithus aegrotus
Periplaneta americana,Phoebis agarithe
Periplaneta americana,Polistes palmarum
Periplaneta americana,Pseudoleon superbus
Periplaneta americana,Urbanus dorantes
Periplaneta americana,Urbanus proteus
Periplaneta americana,Vanessa cardui
Philolithus aegrotus,Phoebis agarithe
Philolithus aegrotus,Polistes palmarum
Philolithus aegrotus,Pseudoleon superbus
Philolithus aegrotus,Urbanus dorantes
Philolithus aegrotus,Urbanus proteus
Philolithus aegrotus,Vanessa cardui
Phoebis agarithe,Polistes palmarum
Phoebis agarithe,Pseudoleon superbus
Phoebis agarithe,Urbanus dorantes
Phoebis agarithe,Urbanus proteus
Phoebis agarithe,Vanessa cardui
Polistes palmarum,Pseudoleon superbus
Polistes palmarum,Urbanus dorantes
Polistes palmarum,Urbanus proteus
Polistes palmarum,Vanessa cardui
Pseudoleon superbus,Urbanus dorantes
Pseudoleon superbus,Urbanus proteus
Pseudoleon superbus,Vanessa cardui
Urbanus dorantes,Urbanus proteus
Urbanus dorantes,Vanessa cardui
Urbanus proteus,Vanessa cardui
Hydroptila icona,Phylloicus aeneus
Anartia fatima,Cernotina laticula
Anartia fatima,Disonycha leptolineata
Anartia fatima,Tirumala petiverana
Anartia fatima,Trigona fulviventris
Cernotina laticula,Disonycha leptolineata
Cernotina laticula,Tirumala petiverana
Cernotina laticula,Trigona fulviventris
Disonycha leptolineata,Tirumala petiverana
Disonycha leptolineata,Trigona fulviventris
Tirumala petiverana,Trigona fulviventris
Anartia fatima,Antianthe expansa
Anartia fatima,Camponotus sericeiventris
Anartia fatima,Monomorium floricola
Anartia fatima,Siproeta stelenes
Anartia fatima,Smicridea varia
Antianthe expansa,Camponotus sericeiventris
Antianthe expansa,Monomorium floricola
Antianthe expansa,Siproeta stelenes
Antianthe expansa,Smicridea varia
Camponotus sericeiventris,Monomorium floricola
Camponotus sericeiventris,Siproeta stelenes
Camponotus sericeiventris,Smicridea varia
Monomorium floricola,Siproeta stelenes
Monomorium floricola,Smicridea varia
Siproeta stelenes,Smicridea varia
Apis mellifera,Danaus gilippus
Apis mellifera,Eurema mexicana
Apis mellifera,Pieris rapae
Apis mellifera,Pseudoleon superbus
Apis mellifera,Smicridea fasciatella
Danaus gilippus,Eurema mexicana
Danaus gilippus,Pieris rapae
Danaus gilippus,Pseudoleon superbus
Danaus gilippus,Smicridea fasciatella
Eurema mexicana,Pieris rapae
Eurema mexicana,Pseudoleon superbus
Eurema mexicana,Smicridea fasciatella
Pieris rapae,Pseudoleon superbus
Pieris rapae,Smicridea fasciatella
Pseudoleon superbus,Smicridea fasciatella
Anteos clorinde,Cyrtomius plicatus
Anteos clorinde,Danaus plexippus
Anteos clorinde,Dione juno
Anteos clorinde,Dione moneta
Anteos clorinde,Echinargus isola
Anteos clorinde,Eurema salome
Anteos clorinde,Graphocephala flavovittata
Anteos clorinde,Harmonia axyridis
Anteos clorinde,Leptophobia aripa
Anteos clorinde,Leptotes marina
Anteos clorinde,Naupactus cervinus
Anteos clorinde,Nicrophorus mexicanus
Anteos clorinde,Nymphalis antiopa
Anteos clorinde,Oncopeltus fasciatus
Anteos clorinde,Papilio multicaudata
Anteos clorinde,Schistocerca nitens
Anteos clorinde,Siproeta stelenes
Anteos clorinde,Sphenarium purpurascens
Anteos clorinde,Stenomacra marginella
Anteos clorinde,Strymon melinus
Anteos clorinde,Sympetrum illotum
Anteos clorinde,Syntechna tarasca
Anteos clorinde,Xylocopa tabaniformis
Cyrtomius plicatus,Danaus plexippus
Cyrtomius plicatus,Dione juno
Cyrtomius plicatus,Dione moneta
Cyrtomius plicatus,Echinargus isola
Cyrtomius plicatus,Eurema salome
Cyrtomius plicatus,Graphocephala flavovittata
Cyrtomius plicatus,Harmonia axyridis
Cyrtomius plicatus,Leptophobia aripa
Cyrtomius plicatus,Leptotes marina
Cyrtomius plicatus,Naupactus cervinus
Cyrtomius plicatus,Nicrophorus mexicanus
Cyrtomius plicatus,Nymphalis antiopa
Cyrtomius plicatus,Oncopeltus fasciatus
Cyrtomius plicatus,Papilio multicaudata
Cyrtomius plicatus,Schistocerca nitens
Cyrtomius plicatus,Siproeta stelenes
Cyrtomius plicatus,Sphenarium purpurascens
Cyrtomius plicatus,Stenomacra marginella
Cyrtomius plicatus,Strymon melinus
Cyrtomius plicatus,Sympetrum illotum
Cyrtomius plicatus,Syntechna tarasca
Cyrtomius plicatus,Xylocopa tabaniformis
Danaus plexippus,Dione juno
Danaus plexippus,Dione moneta
Danaus plexippus,Echinargus isola
Danaus plexippus,Eurema salome
Danaus plexippus,Graphocephala flavovittata
Danaus plexippus,Harmonia axyridis
Danaus plexippus,Leptophobia aripa
Danaus plexippus,Leptotes marina
Danaus plexippus,Naupactus cervinus
Danaus plexippus,Nicrophorus mexicanus
Danaus plexippus,Nymphalis antiopa
Danaus plexippus,Oncopeltus fasciatus
Danaus plexippus,Papilio multicaudata
Danaus plexippus,Schistocerca nitens
Danaus plexippus,Siproeta stelenes
Danaus plexippus,Sphenarium purpurascens
Danaus plexippus,Stenomacra marginella
Danaus plexippus,Strymon melinus
Danaus plexippus,Sympetrum illotum
Danaus plexippus,Syntechna tarasca
Danaus plexippus,Xylocopa tabaniformis
Dione juno,Dione moneta
Dione juno,Echinargus isola
Dione juno,Eurema salome
Dione juno,Graphocephala flavovittata
Dione juno,Harmonia axyridis
Dione juno,Leptophobia aripa
Dione juno,Leptotes marina
Dione juno,Naupactus cervinus
Dione juno,Nicrophorus mexicanus
Dione juno,Nymphalis antiopa
Dione juno,Oncopeltus fasciatus
Dione juno,Papilio multicaudata
Dione juno,Schistocerca nitens
Dione juno,Siproeta stelenes
Dione juno,Sphenarium purpurascens
Dione juno,Stenomacra marginella
Dione juno,Strymon melinus
Dione juno,Sympetrum illotum
Dione juno,Syntechna tarasca
Dione juno,Xylocopa tabaniformis
Dione moneta,Echinargus isola
Dione moneta,Eurema salome
Dione moneta,Graphocephala flavovittata
Dione moneta,Harmonia axyridis
Dione moneta,Leptophobia aripa
Dione moneta,Leptotes marina
Dione moneta,Naupactus cervinus
Dione moneta,Nicrophorus mexicanus
Dione moneta,Nymphalis antiopa
Dione moneta,Oncopeltus fasciatus
Dione moneta,Papilio multicaudata
Dione moneta,Schistocerca nitens
Dione moneta,Siproeta stelenes
Dione moneta,Sphenarium purpurascens
Dione moneta,Stenomacra marginella
Dione moneta,Strymon melinus
Dione moneta,Sympetrum illotum
Dione moneta,Syntechna tarasca
Dione moneta,Xylocopa tabaniformis
Echinargus isola,Eurema salome
Echinargus isola,Graphocephala flavovittata
Echinargus isola,Harmonia axyridis
Echinargus isola,Leptophobia aripa
Echinargus isola,Leptotes marina
Echinargus isola,Naupactus cervinus
Echinargus isola,Nicrophorus mexicanus
Echinargus isola,Nymphalis antiopa
Echinargus isola,Oncopeltus fasciatus
Echinargus isola,Papilio multicaudata
Echinargus isola,Schistocerca nitens
Echinargus isola,Siproeta stelenes
Echinargus isola,Sphenarium purpurascens
Echinargus isola,Stenomacra marginella
Echinargus isola,Strymon melinus
Echinargus isola,Sympetrum illotum
Echinargus isola,Syntechna tarasca
Echinargus isola,Xylocopa tabaniformis
Eurema salome,Graphocephala flavovittata
Eurema salome,Harmonia axyridis
Eurema salome,Leptophobia aripa
Eurema salome,Leptotes marina
Eurema salome,Naupactus cervinus
Eurema salome,Nicrophorus mexicanus
Eurema salome,Nymphalis antiopa
Eurema salome,Oncopeltus fasciatus
Eurema salome,Papilio multicaudata
Eurema salome,Schistocerca nitens
Eurema salome,Siproeta stelenes
Eurema salome,Sphenarium purpurascens
Eurema salome,Stenomacra marginella
Eurema salome,Strymon melinus
Eurema salome,Sympetrum illotum
Eurema salome,Syntechna tarasca
Eurema salome,Xylocopa tabaniformis
Graphocephala flavovittata,Harmonia axyridis
Graphocephala flavovittata,Leptophobia aripa
Graphocephala flavovittata,Leptotes marina
Graphocephala flavovittata,Naupactus cervinus
Graphocephala flavovittata,Nicrophorus mexicanus
Graphocephala flavovittata,Nymphalis antiopa
Graphocephala flavovittata,Oncopeltus fasciatus
Graphocephala flavovittata,Papilio multicaudata
Graphocephala flavovittata,Schistocerca nitens
Graphocephala flavovittata,Siproeta stelenes
Graphocephala flavovittata,Sphenarium purpurascens
Graphocephala flavovittata,Stenomacra marginella
Graphocephala flavovittata,Strymon melinus
Graphocephala flavovittata,Sympetrum illotum
Graphocephala flavovittata,Syntechna tarasca
Graphocephala flavovittata,Xylocopa tabaniformis
Harmonia axyridis,Leptophobia aripa
Harmonia axyridis,Leptotes marina
Harmonia axyridis,Naupactus cervinus
Harmonia axyridis,Nicrophorus mexicanus
Harmonia axyridis,Nymphalis antiopa
Harmonia axyridis,Oncopeltus fasciatus
Harmonia axyridis,Papilio multicaudata
Harmonia axyridis,Schistocerca nitens
Harmonia axyridis,Siproeta stelenes
Harmonia axyridis,Sphenarium purpurascens
Harmonia axyridis,Stenomacra marginella
Harmonia axyridis,Strymon melinus
Harmonia axyridis,Sympetrum illotum
Harmonia axyridis,Syntechna tarasca
Harmonia axyridis,Xylocopa tabaniformis
Leptophobia aripa,Leptotes marina
Leptophobia aripa,Naupactus cervinus
Leptophobia aripa,Nicrophorus mexicanus
Leptophobia aripa,Nymphalis antiopa
Leptophobia aripa,Oncopeltus fasciatus
Leptophobia aripa,Papilio multicaudata
Leptophobia aripa,Schistocerca nitens
Leptophobia aripa,Siproeta stelenes
Leptophobia aripa,Sphenarium purpurascens
Leptophobia aripa,Stenomacra marginella
Leptophobia aripa,Strymon melinus
Leptophobia aripa,Sympetrum illotum
Leptophobia aripa,Syntechna tarasca
Leptophobia aripa,Xylocopa tabaniformis
Leptotes marina,Naupactus cervinus
Leptotes marina,Nicrophorus mexicanus
Leptotes marina,Nymphalis antiopa
Leptotes marina,Oncopeltus fasciatus
Leptotes marina,Papilio multicaudata
Leptotes marina,Schistocerca nitens
Leptotes marina,Siproeta stelenes
Leptotes marina,Sphenarium purpurascens
Leptotes marina,Stenomacra marginella
Leptotes marina,Strymon melinus
Leptotes marina,Sympetrum illotum
Leptotes marina,Syntechna tarasca
Leptotes marina,Xylocopa tabaniformis
Naupactus cervinus,Nicrophorus mexicanus
Naupactus cervinus,Nymphalis antiopa
Naupactus cervinus,Oncopeltus fasciatus
Naupactus cervinus,Papilio multicaudata
Naupactus cervinus,Schistocerca nitens
Naupactus cervinus,Siproeta stelenes
Naupactus cervinus,Sphenarium purpurascens
Naupactus cervinus,Stenomacra marginella
Naupactus cervinus,Strymon melinus
Naupactus cervinus,Sympetrum illotum
Naupactus cervinus,Syntechna tarasca
Naupactus cervinus,Xylocopa tabaniformis
Nicrophorus mexicanus,Nymphalis antiopa
Nicrophorus mexicanus,Oncopeltus fasciatus
Nicrophorus mexicanus,Papilio multicaudata
Nicrophorus mexicanus,Schistocerca nitens
Nicrophorus mexicanus,Siproeta stelenes
Nicrophorus mexicanus,Sphenarium purpurascens
Nicrophorus mexicanus,Stenomacra marginella
Nicrophorus mexicanus,Strymon melinus
Nicrophorus mexicanus,Sympetrum illotum
Nicrophorus mexicanus,Syntechna tarasca
Nicrophorus mexicanus,Xylocopa tabaniformis
Nymphalis antiopa,Oncopeltus fasciatus
Nymphalis antiopa,Papilio multicaudata
Nymphalis antiopa,Schistocerca nitens
Nymphalis antiopa,Siproeta stelenes
Nymphalis antiopa,Sphenarium purpurascens
Nymphalis antiopa,Stenomacra marginella
Nymphalis antiopa,Strymon melinus
Nymphalis antiopa,Sympetrum illotum
Nymphalis antiopa,Syntechna tarasca
Nymphalis antiopa,Xylocopa tabaniformis
Oncopeltus fasciatus,Papilio multicaudata
Oncopeltus fasciatus,Schistocerca nitens
Oncopeltus fasciatus,Siproeta stelenes
Oncopeltus fasciatus,Sphenarium purpurascens
Oncopeltus fasciatus,Stenomacra marginella
Oncopeltus fasciatus,Strymon melinus
Oncopeltus fasciatus,Sympetrum illotum
Oncopeltus fasciatus,Syntechna tarasca
Oncopeltus fasciatus,Xylocopa tabaniformis
Papilio multicaudata,Schistocerca nitens
Papilio multicaudata,Siproeta stelenes
Papilio multicaudata,Sphenarium purpurascens
Papilio multicaudata,Stenomacra marginella
Papilio multicaudata,Strymon melinus
Papilio multicaudata,Sympetrum illotum
Papilio multicaudata,Syntechna tarasca
Papilio multicaudata,Xylocopa tabaniformis
Schistocerca nitens,Siproeta stelenes
Schistocerca nitens,Sphenarium purpurascens
Schistocerca nitens,Stenomacra marginella
Schistocerca nitens,Strymon melinus
Schistocerca nitens,Sympetrum illotum
Schistocerca nitens,Syntechna tarasca
Schistocerca nitens,Xylocopa tabaniformis
Siproeta stelenes,Sphenarium purpurascens
Siproeta stelenes,Stenomacra marginella
Siproeta stelenes,Strymon melinus
Siproeta stelenes,Sympetrum illotum
Siproeta stelenes,Syntechna tarasca
Siproeta stelenes,Xylocopa tabaniformis
Sphenarium purpurascens,Stenomacra marginella
Sphenarium purpurascens,Strymon melinus
Sphenarium purpurascens,Sympetrum illotum
Sphenarium purpurascens,Syntechna tarasca
Sphenarium purpurascens,Xylocopa tabaniformis
Stenomacra marginella,Strymon melinus
Stenomacra marginella,Sympetrum illotum
Stenomacra marginella,Syntechna tarasca
Stenomacra marginella,Xylocopa tabaniformis
Strymon melinus,Sympetrum illotum
Strymon melinus,Syntechna tarasca
Strymon melinus,Xylocopa tabaniformis
Sympetrum illotum,Syntechna tarasca
Sympetrum illotum,Xylocopa tabaniformis
Syntechna tarasca,Xylocopa tabaniformis
Apis mellifera,Battus philenor
Apis mellifera,Chlosyne ehrenbergii
Apis mellifera,Danaus plexippus
Apis mellifera,Dione moneta
Apis mellifera,Padaeus trivittatus
Apis mellifera,Polistes canadensis
Battus philenor,Chlosyne ehrenbergii
Battus philenor,Danaus plexippus
Battus philenor,Dione moneta
Battus philenor,Padaeus trivittatus
Battus philenor,Polistes canadensis
Chlosyne ehrenbergii,Danaus plexippus
